2025-04-15 23:22:07,701 - WARNING -   File .ly corrispondente non trovato per chopin-op23-ballade-1.mid, uso solo analisi MIDI.
2025-04-15 23:22:10,671 - WARNING -   File .ly corrispondente non trovato per PS-chopin-25-02.mid, uso solo analisi MIDI.
2025-04-15 23:22:13,488 - WARNING -   File .ly corrispondente non trovato per Chop-28-15.mid, uso solo analisi MIDI.
2025-04-15 23:22:14,316 - WARNING -   File .ly corrispondente non trovato per Chop-28-17.mid, uso solo analisi MIDI.
2025-04-15 23:22:17,500 - WARNING -   File .ly corrispondente non trovato per Chop-28-4a.mid, uso solo analisi MIDI.
2025-04-15 23:22:17,832 - WARNING -   File .ly corrispondente non trovato per Chop-28-6.mid, uso solo analisi MIDI.
2025-04-15 23:22:17,988 - WARNING -   File .ly corrispondente non trovato per Chop-28-7.mid, uso solo analisi MIDI.
2025-04-15 23:22:19,201 - WARNING -   File .ly corrispondente non trovato per chp-op-35-4-scholz-fi.mid, uso solo analisi MIDI.
2025-04-15 23:22:20,679 - WARNING -   File .ly corrispondente non trovato per ballade-4.mid, uso solo analisi MIDI.
2025-04-15 23:22:23,434 - WARNING -   File .ly corrispondente non trovato per chopin_valse_op64_no1.mid, uso solo analisi MIDI.
2025-04-15 23:22:30,086 - WARNING -   File .ly corrispondente non trovato per guitar-skole-no-10.mid, uso solo analisi MIDI.
2025-04-15 23:22:30,135 - WARNING -   File .ly corrispondente non trovato per guitar-skole-no-23.mid, uso solo analisi MIDI.
2025-04-15 23:22:30,256 - WARNING -   File .ly corrispondente non trovato per guitar-skole-no-24.mid, uso solo analisi MIDI.
2025-04-15 23:22:30,945 - WARNING -   File .ly corrispondente non trovato per op840-1.mid, uso solo analisi MIDI.
2025-04-15 23:22:31,127 - WARNING -   File .ly corrispondente non trovato per op840-10.mid, uso solo analisi MIDI.
2025-04-15 23:22:31,322 - WARNING -   File .ly corrispondente non trovato per op840-2.mid, uso solo analisi MIDI.
2025-04-15 23:22:31,552 - WARNING -   File .ly corrispondente non trovato per op840-3.mid, uso solo analisi MIDI.
